city,income
Adana,111293.93
Mersin,111293.93
Ankara,175744.76
Antalya,148086.25
Isparta,148086.25
Burdur,148086.25
Aydın,144866.39
Denizli,144866.39
Muğla,144866.39
Ağrı,77191.18
Kars,77191.18
Iğdır,77191.18
Ardahan,77191.18
Balıkesir,149082.0
Çanakkale,149082.0
Bursa,177145.0
Eskişehir,177145.0
Bilecik,177145.0
Erzurum,98728.0
Erzincan,98728.0
Bayburt,98728.0
Gaziantep,85282.86
Adıyaman,85282.86
Kilis,85282.86
Hatay,106958.62
Kahramanmaraş,106958.62
Osmaniye,106958.62
Kastamonu,139793.33
Çankırı,139793.33
Sinop,139793.33
Kayseri,131118.33
Sivas,131118.33
Yozgat,131118.33
Kocaeli,155442.67
Sakarya,155442.67
Düzce,155442.67
Bolu,155442.67
Yalova,155442.67
Konya,131904.44
Karaman,131904.44
Kırıkkale,116700.67
Aksaray,116700.67
Niğde,116700.67
Nevşehir,116700.67
Kırşehir,116700.67
Malatya,102925.52
Elazığ,102925.52
Bingöl,102925.52
Tunceli,102925.52
Manisa,118237.14
Afyonkarahisar,118237.14
Kütahya,118237.14
Uşak,118237.14
Mardin,82434.57
Batman,82434.57
Şırnak,82434.57
Siirt,82434.57
Samsun,132739.13
Tokat,132739.13
Çorum,132739.13
Amasya,132739.13
Tekirdağ,169010.87
Edirne,169010.87
Kırklareli,169010.87
Trabzon,128586.67
Ordu,128586.67
Giresun,128586.67
Rize,128586.67
Artvin,128586.67
Gümüşhane,128586.67
Van,73811.67
Muş,73811.67
Bitlis,73811.67
Hakkari,73811.67
Zonguldak,140195.0
Karabük,140195.0
Bartın,140195.0
İzmir,176370.0
Şanlıurfa,151862.9
Diyarbakır,151862.9
